position,name,target,mean_error,w_gkDiving,w_gkHandling,w_gkKicking,w_gkPositioning,w_gkReflexes,w_pac,w_sho,w_pas,w_dri,w_def,w_phy
CAM,CAM - Overall Rating,overallRating,0.011477523587231106,,,,,,0.045162158904686556,0.15620738896157518,0.2676668503650734,0.5234237846085422,1.26680979239526e-20,0.007539817160122546
CB,CB - Overall Rating,overallRating,0.007514098017356475,,,,,,0.015808367375872868,4.8257592648582664e-18,0.018796245378391384,0.014132072095647827,0.7766390234820612,0.17462429166802684
CDM,CDM - Overall Rating,overallRating,0.027734238556864327,,,,,,2.4728245151450775e-17,0.0,6.819613413986089e-17,0.31627627104391504,0.31210952199491404,0.37161420696117087
CM,CM - Overall Rating,overallRating,0.01667558203311642,,,,,,1.5757403130265134e-17,3.4032600935251862e-18,0.3576729695223546,0.5257621590346796,0.017745121899354458,0.09881974954361127
GK,GK - Overall Rating,overallRating,0.006879309154923846,0.24819137941384348,0.16950558960550594,0.03654154601922742,0.2230915751051761,0.32266990985624716,,,,,,
LB,LB - Overall Rating,overallRating,0.02484688292931992,,,,,,0.3034015197783084,0.0,7.012924583497253e-17,0.27184338114979734,0.40225472286523684,0.022500376206657277
LM,LM - Overall Rating,overallRating,0.010813168890169492,,,,,,0.1414759785678951,0.041151026087929345,0.3441262179952892,0.4511996549179421,4.8906421552208865e-18,0.022047122430944366
LW,LW - Overall Rating,overallRating,0.008582564255907421,,,,,,0.12440184450493197,0.22605769099829384,0.21812845138117135,0.42632983222233417,6.6237976475286294e-18,0.005082180893268775
RB,RB - Overall Rating,overallRating,0.025275904307031142,,,,,,0.32200946909588546,4.982472009360942e-17,6.15369114214822e-18,0.12276257266572736,0.546756942124066,0.008471016114321031
RM,RM - Overall Rating,overallRating,0.011760161750909139,,,,,,0.14783526312609704,0.04291116588449201,0.28489286794452373,0.4795611899034916,1.5365293912396185e-18,0.04479951314139568
RW,RW - Overall Rating,overallRating,0.009146913916065005,,,,,,0.1121894683834186,0.2133816015748314,0.1905096367036549,0.4700974832298609,1.078607632531261e-18,0.013821810108234193
ST,ST - Overall Rating,overallRating,0.01304132492610208,,,,,,0.05550061473110265,0.7346177935267352,0.0,0.1178597748574321,6.288372600415924e-18,0.09202181688473007
